Quarter,Monthly Wage
2010-Q1,2461.631871806972
2010-Q2,2488.314398626518
2010-Q3,2525.5040474579005
2010-Q4,2473.7607618147927
2011-Q1,2576.8789868676613
2011-Q2,2505.5366936851447
2011-Q3,2507.4933423083835
2011-Q4,2370.8231907558943
2012-Q1,2578.6170453752948
2012-Q2,2572.478058457463
2012-Q3,3065.75931265877
2012-Q4,3116.423249282052
2013-Q1,3207.8057235119363
2013-Q2,3139.58740963939
2013-Q3,3162.6403112401663
2013-Q4,3041.9535265542972
2014-Q1,3153.423362405253
2014-Q2,3082.99962421331
2014-Q3,3066.598278856935
2014-Q4,3034.01741860996
2015-Q1,3136.870839439034
2015-Q2,3153.581189048971
2015-Q3,3212.278226189469
2015-Q4,3140.565959834933
2016-Q1,3235.619891939405
2016-Q2,3262.611752999325
2016-Q3,3239.291977105482
2016-Q4,3273.9483128052316
2017-Q1,3413.2594695319253
2017-Q2,3342.083691365273
2017-Q3,3298.6251172251846
2017-Q4,3221.4392339899036
2018-Q1,3411.98115521231
2018-Q2,3421.285015152728
2018-Q3,3422.8643525201796
2018-Q4,3442.654022657043
2019-Q1,3573.1428095822025
2019-Q2,3632.491484463244
2019-Q3,3641.510054229522
2019-Q4,3730.499724260589
2020-Q1,4099.867066125509
2020-Q3,4059.674763828237
2020-Q4,4095.75719264716
